 주택용(저압) 사용량별 요금표 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 [ 기타계절(7~8월 제외) ] ,,,,,,,," *기후환경요금단가는 매년, 연료비조정단가는 매분기 변동됨 ",,, [ 하계(7~8월) ] ,,,,,,,," *기후환경요금단가는 매년, 연료비조정단가는 매분기 변동됨 "
" 사용량
(kWh) ", 기본요금 , 전력량요금 ," 기후환경요금
(2023.1.1기준) "," 연료비조정요금
(2023.1.1기준) ", 전기요금계 , 부가세 , 기반기금 , 청구금액 ,,," 사용량
(kWh) ", 기본요금 , 전력량요금 ," 기후환경요금
(2023.1.1기준) "," 연료비조정요금
(2023.1.1기준) ", 전기요금계 , 부가세 , 기반기금 , 청구금액 
11,  910 ,"  1,232 ",  99 ,  55 ,"  2,296 ",  230 ,  80 ,"  2,600 ",,,11,  910 ,"  1,232 ",  99 ,  55 ,"  2,296 ",  230 ,  80 ,"  2,600 "
12,  910 ,"  1,344 ",  108 ,  60 ,"  2,422 ",  242 ,  80 ,"  2,740 ",,,12,  910 ,"  1,344 ",  108 ,  60 ,"  2,422 ",  242 ,  80 ,"  2,740 "
13,  910 ,"  1,456 ",  117 ,  65 ,"  2,548 ",  255 ,  90 ,"  2,890 ",,,13,  910 ,"  1,456 ",  117 ,  65 ,"  2,548 ",  255 ,  90 ,"  2,890 "
14,  910 ,"  1,568 ",  126 ,  70 ,"  2,674 ",  267 ,  90 ,"  3,030 ",,,14,  910 ,"  1,568 ",  126 ,  70 ,"  2,674 ",  267 ,  90 ,"  3,030 "
15,  910 ,"  1,680 ",  135 ,  75 ,"  2,800 ",  280 ,  100 ,"  3,180 ",,,15,  910 ,"  1,680 ",  135 ,  75 ,"  2,800 ",  280 ,  100 ,"  3,180 "
16,  910 ,"  1,792 ",  144 ,  80 ,"  2,926 ",  293 ,  100 ,"  3,310 ",,,16,  910 ,"  1,792 ",  144 ,  80 ,"  2,926 ",  293 ,  100 ,"  3,310 "
17,  910 ,"  1,904 ",  153 ,  85 ,"  3,052 ",  305 ,  110 ,"  3,460 ",,,17,  910 ,"  1,904 ",  153 ,  85 ,"  3,052 ",  305 ,  110 ,"  3,460 "
18,  910 ,"  2,016 ",  162 ,  90 ,"  3,178 ",  318 ,  110 ,"  3,600 ",,,18,  910 ,"  2,016 ",  162 ,  90 ,"  3,178 ",  318 ,  110 ,"  3,600 "
19,  910 ,"  2,128 ",  171 ,  95 ,"  3,304 ",  330 ,  120 ,"  3,750 ",,,19,  910 ,"  2,128 ",  171 ,  95 ,"  3,304 ",  330 ,  120 ,"  3,750 "
20,  910 ,"  2,240 ",  180 ,  100 ,"  3,430 ",  343 ,  120 ,"  3,890 ",,,20,  910 ,"  2,240 ",  180 ,  100 ,"  3,430 ",  343 ,  120 ,"  3,890 "
21,  910 ,"  2,352 ",  189 ,  105 ,"  3,556 ",  356 ,  130 ,"  4,040 ",,,21,  910 ,"  2,352 ",  189 ,  105 ,"  3,556 ",  356 ,  130 ,"  4,040 "
22,  910 ,"  2,464 ",  198 ,  110 ,"  3,682 ",  368 ,  130 ,"  4,180 ",,,22,  910 ,"  2,464 ",  198 ,  110 ,"  3,682 ",  368 ,  130 ,"  4,180 "
23,  910 ,"  2,576 ",  207 ,  115 ,"  3,808 ",  381 ,  140 ,"  4,320 ",,,23,  910 ,"  2,576 ",  207 ,  115 ,"  3,808 ",  381 ,  140 ,"  4,320 "
24,  910 ,"  2,688 ",  216 ,  120 ,"  3,934 ",  393 ,  140 ,"  4,460 ",,,24,  910 ,"  2,688 ",  216 ,  120 ,"  3,934 ",  393 ,  140 ,"  4,460 "
25,  910 ,"  2,800 ",  225 ,  125 ,"  4,060 ",  406 ,  150 ,"  4,610 ",,,25,  910 ,"  2,800 ",  225 ,  125 ,"  4,060 ",  406 ,  150 ,"  4,610 "
26,  910 ,"  2,912 ",  234 ,  130 ,"  4,186 ",  419 ,  150 ,"  4,750 ",,,26,  910 ,"  2,912 ",  234 ,  130 ,"  4,186 ",  419 ,  150 ,"  4,750 "
27,  910 ,"  3,024 ",  243 ,  135 ,"  4,312 ",  431 ,  150 ,"  4,890 ",,,27,  910 ,"  3,024 ",  243 ,  135 ,"  4,312 ",  431 ,  150 ,"  4,890 "
28,  910 ,"  3,136 ",  252 ,  140 ,"  4,438 ",  444 ,  160 ,"  5,040 ",,,28,  910 ,"  3,136 ",  252 ,  140 ,"  4,438 ",  444 ,  160 ,"  5,040 "
29,  910 ,"  3,248 ",  261 ,  145 ,"  4,564 ",  456 ,  160 ,"  5,180 ",,,29,  910 ,"  3,248 ",  261 ,  145 ,"  4,564 ",  456 ,  160 ,"  5,180 "
30,  910 ,"  3,360 ",  270 ,  150 ,"  4,690 ",  469 ,  170 ,"  5,320 ",,,30,  910 ,"  3,360 ",  270 ,  150 ,"  4,690 ",  469 ,  170 ,"  5,320 "
31,  910 ,"  3,472 ",  279 ,  155 ,"  4,816 ",  482 ,  170 ,"  5,460 ",,,31,  910 ,"  3,472 ",  279 ,  155 ,"  4,816 ",  482 ,  170 ,"  5,460 "
32,  910 ,"  3,584 ",  288 ,  160 ,"  4,942 ",  494 ,  180 ,"  5,610 ",,,32,  910 ,"  3,584 ",  288 ,  160 ,"  4,942 ",  494 ,  180 ,"  5,610 "
33,  910 ,"  3,696 ",  297 ,  165 ,"  5,068 ",  507 ,  180 ,"  5,750 ",,,33,  910 ,"  3,696 ",  297 ,  165 ,"  5,068 ",  507 ,  180 ,"  5,750 "
34,  910 ,"  3,808 ",  306 ,  170 ,"  5,194 ",  519 ,  190 ,"  5,900 ",,,34,  910 ,"  3,808 ",  306 ,  170 ,"  5,194 ",  519 ,  190 ,"  5,900 "
35,  910 ,"  3,920 ",  315 ,  175 ,"  5,320 ",  532 ,  190 ,"  6,040 ",,,35,  910 ,"  3,920 ",  315 ,  175 ,"  5,320 ",  532 ,  190 ,"  6,040 "
36,  910 ,"  4,032 ",  324 ,  180 ,"  5,446 ",  545 ,  200 ,"  6,190 ",,,36,  910 ,"  4,032 ",  324 ,  180 ,"  5,446 ",  545 ,  200 ,"  6,190 "
37,  910 ,"  4,144 ",  333 ,  185 ,"  5,572 ",  557 ,  200 ,"  6,320 ",,,37,  910 ,"  4,144 ",  333 ,  185 ,"  5,572 ",  557 ,  200 ,"  6,320 "
38,  910 ,"  4,256 ",  342 ,  190 ,"  5,698 ",  570 ,  210 ,"  6,470 ",,,38,  910 ,"  4,256 ",  342 ,  190 ,"  5,698 ",  570 ,  210 ,"  6,470 "
39,  910 ,"  4,368 ",  351 ,  195 ,"  5,824 ",  582 ,  210 ,"  6,610 ",,,39,  910 ,"  4,368 ",  351 ,  195 ,"  5,824 ",  582 ,  210 ,"  6,610 "
40,  910 ,"  4,480 ",  360 ,  200 ,"  5,950 ",  595 ,  220 ,"  6,760 ",,,40,  910 ,"  4,480 ",  360 ,  200 ,"  5,950 ",  595 ,  220 ,"  6,760 "
41,  910 ,"  4,592 ",  369 ,  205 ,"  6,076 ",  608 ,  220 ,"  6,900 ",,,41,  910 ,"  4,592 ",  369 ,  205 ,"  6,076 ",  608 ,  220 ,"  6,900 "
42,  910 ,"  4,704 ",  378 ,  210 ,"  6,202 ",  620 ,  220 ,"  7,040 ",,,42,  910 ,"  4,704 ",  378 ,  210 ,"  6,202 ",  620 ,  220 ,"  7,040 "
43,  910 ,"  4,816 ",  387 ,  215 ,"  6,328 ",  633 ,  230 ,"  7,190 ",,,43,  910 ,"  4,816 ",  387 ,  215 ,"  6,328 ",  633 ,  230 ,"  7,190 "
44,  910 ,"  4,928 ",  396 ,  220 ,"  6,454 ",  645 ,  230 ,"  7,320 ",,,44,  910 ,"  4,928 ",  396 ,  220 ,"  6,454 ",  645 ,  230 ,"  7,320 "
45,  910 ,"  5,040 ",  405 ,  225 ,"  6,580 ",  658 ,  240 ,"  7,470 ",,,45,  910 ,"  5,040 ",  405 ,  225 ,"  6,580 ",  658 ,  240 ,"  7,470 "
46,  910 ,"  5,152 ",  414 ,  230 ,"  6,706 ",  671 ,  240 ,"  7,610 ",,,46,  910 ,"  5,152 ",  414 ,  230 ,"  6,706 ",  671 ,  240 ,"  7,610 "
47,  910 ,"  5,264 ",  423 ,  235 ,"  6,832 ",  683 ,  250 ,"  7,760 ",,,47,  910 ,"  5,264 ",  423 ,  235 ,"  6,832 ",  683 ,  250 ,"  7,760 "
48,  910 ,"  5,376 ",  432 ,  240 ,"  6,958 ",  696 ,  250 ,"  7,900 ",,,48,  910 ,"  5,376 ",  432 ,  240 ,"  6,958 ",  696 ,  250 ,"  7,900 "
49,  910 ,"  5,488 ",  441 ,  245 ,"  7,084 ",  708 ,  260 ,"  8,050 ",,,49,  910 ,"  5,488 ",  441 ,  245 ,"  7,084 ",  708 ,  260 ,"  8,050 "
50,  910 ,"  5,600 ",  450 ,  250 ,"  7,210 ",  721 ,  260 ,"  8,190 ",,,50,  910 ,"  5,600 ",  450 ,  250 ,"  7,210 ",  721 ,  260 ,"  8,190 "
51,  910 ,"  5,712 ",  459 ,  255 ,"  7,336 ",  734 ,  270 ,"  8,340 ",,,51,  910 ,"  5,712 ",  459 ,  255 ,"  7,336 ",  734 ,  270 ,"  8,340 "
52,  910 ,"  5,824 ",  468 ,  260 ,"  7,462 ",  746 ,  270 ,"  8,470 ",,,52,  910 ,"  5,824 ",  468 ,  260 ,"  7,462 ",  746 ,  270 ,"  8,470 "
53,  910 ,"  5,936 ",  477 ,  265 ,"  7,588 ",  759 ,  280 ,"  8,620 ",,,53,  910 ,"  5,936 ",  477 ,  265 ,"  7,588 ",  759 ,  280 ,"  8,620 "
54,  910 ,"  6,048 ",  486 ,  270 ,"  7,714 ",  771 ,  280 ,"  8,760 ",,,54,  910 ,"  6,048 ",  486 ,  270 ,"  7,714 ",  771 ,  280 ,"  8,760 "
55,  910 ,"  6,160 ",  495 ,  275 ,"  7,840 ",  784 ,  290 ,"  8,910 ",,,55,  910 ,"  6,160 ",  495 ,  275 ,"  7,840 ",  784 ,  290 ,"  8,910 "
56,  910 ,"  6,272 ",  504 ,  280 ,"  7,966 ",  797 ,  290 ,"  9,050 ",,,56,  910 ,"  6,272 ",  504 ,  280 ,"  7,966 ",  797 ,  290 ,"  9,050 "
57,  910 ,"  6,384 ",  513 ,  285 ,"  8,092 ",  809 ,  290 ,"  9,190 ",,,57,  910 ,"  6,384 ",  513 ,  285 ,"  8,092 ",  809 ,  290 ,"  9,190 "
58,  910 ,"  6,496 ",  522 ,  290 ,"  8,218 ",  822 ,  300 ,"  9,340 ",,,58,  910 ,"  6,496 ",  522 ,  290 ,"  8,218 ",  822 ,  300 ,"  9,340 "
59,  910 ,"  6,608 ",  531 ,  295 ,"  8,344 ",  834 ,  300 ,"  9,470 ",,,59,  910 ,"  6,608 ",  531 ,  295 ,"  8,344 ",  834 ,  300 ,"  9,470 "
60,  910 ,"  6,720 ",  540 ,  300 ,"  8,470 ",  847 ,  310 ,"  9,620 ",,,60,  910 ,"  6,720 ",  540 ,  300 ,"  8,470 ",  847 ,  310 ,"  9,620 "
61,  910 ,"  6,832 ",  549 ,  305 ,"  8,596 ",  860 ,  310 ,"  9,760 ",,,61,  910 ,"  6,832 ",  549 ,  305 ,"  8,596 ",  860 ,  310 ,"  9,760 "
62,  910 ,"  6,944 ",  558 ,  310 ,"  8,722 ",  872 ,  320 ,"  9,910 ",,,62,  910 ,"  6,944 ",  558 ,  310 ,"  8,722 ",  872 ,  320 ,"  9,910 "
63,  910 ,"  7,056 ",  567 ,  315 ,"  8,848 ",  885 ,  320 ,"  10,050 ",,,63,  910 ,"  7,056 ",  567 ,  315 ,"  8,848 ",  885 ,  320 ,"  10,050 "
64,  910 ,"  7,168 ",  576 ,  320 ,"  8,974 ",  897 ,  330 ,"  10,200 ",,,64,  910 ,"  7,168 ",  576 ,  320 ,"  8,974 ",  897 ,  330 ,"  10,200 "
65,  910 ,"  7,280 ",  585 ,  325 ,"  9,100 ",  910 ,  330 ,"  10,340 ",,,65,  910 ,"  7,280 ",  585 ,  325 ,"  9,100 ",  910 ,  330 ,"  10,340 "
66,  910 ,"  7,392 ",  594 ,  330 ,"  9,226 ",  923 ,  340 ,"  10,480 ",,,66,  910 ,"  7,392 ",  594 ,  330 ,"  9,226 ",  923 ,  340 ,"  10,480 "
67,  910 ,"  7,504 ",  603 ,  335 ,"  9,352 ",  935 ,  340 ,"  10,620 ",,,67,  910 ,"  7,504 ",  603 ,  335 ,"  9,352 ",  935 ,  340 ,"  10,620 "
68,  910 ,"  7,616 ",  612 ,  340 ,"  9,478 ",  948 ,  350 ,"  10,770 ",,,68,  910 ,"  7,616 ",  612 ,  340 ,"  9,478 ",  948 ,  350 ,"  10,770 "
69,  910 ,"  7,728 ",  621 ,  345 ,"  9,604 ",  960 ,  350 ,"  10,910 ",,,69,  910 ,"  7,728 ",  621 ,  345 ,"  9,604 ",  960 ,  350 ,"  10,910 "
70,  910 ,"  7,840 ",  630 ,  350 ,"  9,730 ",  973 ,  360 ,"  11,060 ",,,70,  910 ,"  7,840 ",  630 ,  350 ,"  9,730 ",  973 ,  360 ,"  11,060 "
71,  910 ,"  7,952 ",  639 ,  355 ,"  9,856 ",  986 ,  360 ,"  11,200 ",,,71,  910 ,"  7,952 ",  639 ,  355 ,"  9,856 ",  986 ,  360 ,"  11,200 "
72,  910 ,"  8,064 ",  648 ,  360 ,"  9,982 ",  998 ,  360 ,"  11,340 ",,,72,  910 ,"  8,064 ",  648 ,  360 ,"  9,982 ",  998 ,  360 ,"  11,340 "
73,  910 ,"  8,176 ",  657 ,  365 ,"  10,108 ","  1,011 ",  370 ,"  11,480 ",,,73,  910 ,"  8,176 ",  657 ,  365 ,"  10,108 ","  1,011 ",  370 ,"  11,480 "
74,  910 ,"  8,288 ",  666 ,  370 ,"  10,234 ","  1,023 ",  370 ,"  11,620 ",,,74,  910 ,"  8,288 ",  666 ,  370 ,"  10,234 ","  1,023 ",  370 ,"  11,620 "
75,  910 ,"  8,400 ",  675 ,  375 ,"  10,360 ","  1,036 ",  380 ,"  11,770 ",,,75,  910 ,"  8,400 ",  675 ,  375 ,"  10,360 ","  1,036 ",  380 ,"  11,770 "
76,  910 ,"  8,512 ",  684 ,  380 ,"  10,486 ","  1,049 ",  380 ,"  11,910 ",,,76,  910 ,"  8,512 ",  684 ,  380 ,"  10,486 ","  1,049 ",  380 ,"  11,910 "
77,  910 ,"  8,624 ",  693 ,  385 ,"  10,612 ","  1,061 ",  390 ,"  12,060 ",,,77,  910 ,"  8,624 ",  693 ,  385 ,"  10,612 ","  1,061 ",  390 ,"  12,060 "
78,  910 ,"  8,736 ",  702 ,  390 ,"  10,738 ","  1,074 ",  390 ,"  12,200 ",,,78,  910 ,"  8,736 ",  702 ,  390 ,"  10,738 ","  1,074 ",  390 ,"  12,200 "
79,  910 ,"  8,848 ",  711 ,  395 ,"  10,864 ","  1,086 ",  400 ,"  12,350 ",,,79,  910 ,"  8,848 ",  711 ,  395 ,"  10,864 ","  1,086 ",  400 ,"  12,350 "
80,  910 ,"  8,960 ",  720 ,  400 ,"  10,990 ","  1,099 ",  400 ,"  12,480 ",,,80,  910 ,"  8,960 ",  720 ,  400 ,"  10,990 ","  1,099 ",  400 ,"  12,480 "
81,  910 ,"  9,072 ",  729 ,  405 ,"  11,116 ","  1,112 ",  410 ,"  12,630 ",,,81,  910 ,"  9,072 ",  729 ,  405 ,"  11,116 ","  1,112 ",  410 ,"  12,630 "
82,  910 ,"  9,184 ",  738 ,  410 ,"  11,242 ","  1,124 ",  410 ,"  12,770 ",,,82,  910 ,"  9,184 ",  738 ,  410 ,"  11,242 ","  1,124 ",  410 ,"  12,770 "
83,  910 ,"  9,296 ",  747 ,  415 ,"  11,368 ","  1,137 ",  420 ,"  12,920 ",,,83,  910 ,"  9,296 ",  747 ,  415 ,"  11,368 ","  1,137 ",  420 ,"  12,920 "
84,  910 ,"  9,408 ",  756 ,  420 ,"  11,494 ","  1,149 ",  420 ,"  13,060 ",,,84,  910 ,"  9,408 ",  756 ,  420 ,"  11,494 ","  1,149 ",  420 ,"  13,060 "
85,  910 ,"  9,520 ",  765 ,  425 ,"  11,620 ","  1,162 ",  420 ,"  13,200 ",,,85,  910 ,"  9,520 ",  765 ,  425 ,"  11,620 ","  1,162 ",  420 ,"  13,200 "
86,  910 ,"  9,632 ",  774 ,  430 ,"  11,746 ","  1,175 ",  430 ,"  13,350 ",,,86,  910 ,"  9,632 ",  774 ,  430 ,"  11,746 ","  1,175 ",  430 ,"  13,350 "
87,  910 ,"  9,744 ",  783 ,  435 ,"  11,872 ","  1,187 ",  430 ,"  13,480 ",,,87,  910 ,"  9,744 ",  783 ,  435 ,"  11,872 ","  1,187 ",  430 ,"  13,480 "
88,  910 ,"  9,856 ",  792 ,  440 ,"  11,998 ","  1,200 ",  440 ,"  13,630 ",,,88,  910 ,"  9,856 ",  792 ,  440 ,"  11,998 ","  1,200 ",  440 ,"  13,630 "
89,  910 ,"  9,968 ",  801 ,  445 ,"  12,124 ","  1,212 ",  440 ,"  13,770 ",,,89,  910 ,"  9,968 ",  801 ,  445 ,"  12,124 ","  1,212 ",  440 ,"  13,770 "
90,  910 ,"  10,080 ",  810 ,  450 ,"  12,250 ","  1,225 ",  450 ,"  13,920 ",,,90,  910 ,"  10,080 ",  810 ,  450 ,"  12,250 ","  1,225 ",  450 ,"  13,920 "
91,  910 ,"  10,192 ",  819 ,  455 ,"  12,376 ","  1,238 ",  450 ,"  14,060 ",,,91,  910 ,"  10,192 ",  819 ,  455 ,"  12,376 ","  1,238 ",  450 ,"  14,060 "
92,  910 ,"  10,304 ",  828 ,  460 ,"  12,502 ","  1,250 ",  460 ,"  14,210 ",,,92,  910 ,"  10,304 ",  828 ,  460 ,"  12,502 ","  1,250 ",  460 ,"  14,210 "
93,  910 ,"  10,416 ",  837 ,  465 ,"  12,628 ","  1,263 ",  460 ,"  14,350 ",,,93,  910 ,"  10,416 ",  837 ,  465 ,"  12,628 ","  1,263 ",  460 ,"  14,350 "
94,  910 ,"  10,528 ",  846 ,  470 ,"  12,754 ","  1,275 ",  470 ,"  14,490 ",,,94,  910 ,"  10,528 ",  846 ,  470 ,"  12,754 ","  1,275 ",  470 ,"  14,490 "
95,  910 ,"  10,640 ",  855 ,  475 ,"  12,880 ","  1,288 ",  470 ,"  14,630 ",,,95,  910 ,"  10,640 ",  855 ,  475 ,"  12,880 ","  1,288 ",  470 ,"  14,630 "
96,  910 ,"  10,752 ",  864 ,  480 ,"  13,006 ","  1,301 ",  480 ,"  14,780 ",,,96,  910 ,"  10,752 ",  864 ,  480 ,"  13,006 ","  1,301 ",  480 ,"  14,780 "
97,  910 ,"  10,864 ",  873 ,  485 ,"  13,132 ","  1,313 ",  480 ,"  14,920 ",,,97,  910 ,"  10,864 ",  873 ,  485 ,"  13,132 ","  1,313 ",  480 ,"  14,920 "
98,  910 ,"  10,976 ",  882 ,  490 ,"  13,258 ","  1,326 ",  490 ,"  15,070 ",,,98,  910 ,"  10,976 ",  882 ,  490 ,"  13,258 ","  1,326 ",  490 ,"  15,070 "
99,  910 ,"  11,088 ",  891 ,  495 ,"  13,384 ","  1,338 ",  490 ,"  15,210 ",,,99,  910 ,"  11,088 ",  891 ,  495 ,"  13,384 ","  1,338 ",  490 ,"  15,210 "
100,  910 ,"  11,200 ",  900 ,  500 ,"  13,510 ","  1,351 ",  490 ,"  15,350 ",,,100,  910 ,"  11,200 ",  900 ,  500 ,"  13,510 ","  1,351 ",  490 ,"  15,350 "
101,  910 ,"  11,312 ",  909 ,  505 ,"  13,636 ","  1,364 ",  500 ,"  15,500 ",,,101,  910 ,"  11,312 ",  909 ,  505 ,"  13,636 ","  1,364 ",  500 ,"  15,500 "
102,  910 ,"  11,424 ",  918 ,  510 ,"  13,762 ","  1,376 ",  500 ,"  15,630 ",,,102,  910 ,"  11,424 ",  918 ,  510 ,"  13,762 ","  1,376 ",  500 ,"  15,630 "
103,  910 ,"  11,536 ",  927 ,  515 ,"  13,888 ","  1,389 ",  510 ,"  15,780 ",,,103,  910 ,"  11,536 ",  927 ,  515 ,"  13,888 ","  1,389 ",  510 ,"  15,780 "
104,  910 ,"  11,648 ",  936 ,  520 ,"  14,014 ","  1,401 ",  510 ,"  15,920 ",,,104,  910 ,"  11,648 ",  936 ,  520 ,"  14,014 ","  1,401 ",  510 ,"  15,920 "
105,  910 ,"  11,760 ",  945 ,  525 ,"  14,140 ","  1,414 ",  520 ,"  16,070 ",,,105,  910 ,"  11,760 ",  945 ,  525 ,"  14,140 ","  1,414 ",  520 ,"  16,070 "
106,  910 ,"  11,872 ",  954 ,  530 ,"  14,266 ","  1,427 ",  520 ,"  16,210 ",,,106,  910 ,"  11,872 ",  954 ,  530 ,"  14,266 ","  1,427 ",  520 ,"  16,210 "
107,  910 ,"  11,984 ",  963 ,  535 ,"  14,392 ","  1,439 ",  530 ,"  16,360 ",,,107,  910 ,"  11,984 ",  963 ,  535 ,"  14,392 ","  1,439 ",  530 ,"  16,360 "
108,  910 ,"  12,096 ",  972 ,  540 ,"  14,518 ","  1,452 ",  530 ,"  16,500 ",,,108,  910 ,"  12,096 ",  972 ,  540 ,"  14,518 ","  1,452 ",  530 ,"  16,500 "
109,  910 ,"  12,208 ",  981 ,  545 ,"  14,644 ","  1,464 ",  540 ,"  16,640 ",,,109,  910 ,"  12,208 ",  981 ,  545 ,"  14,644 ","  1,464 ",  540 ,"  16,640 "
110,  910 ,"  12,320 ",  990 ,  550 ,"  14,770 ","  1,477 ",  540 ,"  16,780 ",,,110,  910 ,"  12,320 ",  990 ,  550 ,"  14,770 ","  1,477 ",  540 ,"  16,780 "
111,  910 ,"  12,432 ",  999 ,  555 ,"  14,896 ","  1,490 ",  550 ,"  16,930 ",,,111,  910 ,"  12,432 ",  999 ,  555 ,"  14,896 ","  1,490 ",  550 ,"  16,930 "
112,  910 ,"  12,544 ","  1,008 ",  560 ,"  15,022 ","  1,502 ",  550 ,"  17,070 ",,,112,  910 ,"  12,544 ","  1,008 ",  560 ,"  15,022 ","  1,502 ",  550 ,"  17,070 "
113,  910 ,"  12,656 ","  1,017 ",  565 ,"  15,148 ","  1,515 ",  560 ,"  17,220 ",,,113,  910 ,"  12,656 ","  1,017 ",  565 ,"  15,148 ","  1,515 ",  560 ,"  17,220 "
114,  910 ,"  12,768 ","  1,026 ",  570 ,"  15,274 ","  1,527 ",  560 ,"  17,360 ",,,114,  910 ,"  12,768 ","  1,026 ",  570 ,"  15,274 ","  1,527 ",  560 ,"  17,360 "
115,  910 ,"  12,880 ","  1,035 ",  575 ,"  15,400 ","  1,540 ",  560 ,"  17,500 ",,,115,  910 ,"  12,880 ","  1,035 ",  575 ,"  15,400 ","  1,540 ",  560 ,"  17,500 "
116,  910 ,"  12,992 ","  1,044 ",  580 ,"  15,526 ","  1,553 ",  570 ,"  17,640 ",,,116,  910 ,"  12,992 ","  1,044 ",  580 ,"  15,526 ","  1,553 ",  570 ,"  17,640 "
117,  910 ,"  13,104 ","  1,053 ",  585 ,"  15,652 ","  1,565 ",  570 ,"  17,780 ",,,117,  910 ,"  13,104 ","  1,053 ",  585 ,"  15,652 ","  1,565 ",  570 ,"  17,780 "
118,  910 ,"  13,216 ","  1,062 ",  590 ,"  15,778 ","  1,578 ",  580 ,"  17,930 ",,,118,  910 ,"  13,216 ","  1,062 ",  590 ,"  15,778 ","  1,578 ",  580 ,"  17,930 "
119,  910 ,"  13,328 ","  1,071 ",  595 ,"  15,904 ","  1,590 ",  580 ,"  18,070 ",,,119,  910 ,"  13,328 ","  1,071 ",  595 ,"  15,904 ","  1,590 ",  580 ,"  18,070 "
120,  910 ,"  13,440 ","  1,080 ",  600 ,"  16,030 ","  1,603 ",  590 ,"  18,220 ",,,120,  910 ,"  13,440 ","  1,080 ",  600 ,"  16,030 ","  1,603 ",  590 ,"  18,220 "
121,  910 ,"  13,552 ","  1,089 ",  605 ,"  16,156 ","  1,616 ",  590 ,"  18,360 ",,,121,  910 ,"  13,552 ","  1,089 ",  605 ,"  16,156 ","  1,616 ",  590 ,"  18,360 "
122,  910 ,"  13,664 ","  1,098 ",  610 ,"  16,282 ","  1,628 ",  600 ,"  18,510 ",,,122,  910 ,"  13,664 ","  1,098 ",  610 ,"  16,282 ","  1,628 ",  600 ,"  18,510 "
123,  910 ,"  13,776 ","  1,107 ",  615 ,"  16,408 ","  1,641 ",  600 ,"  18,640 ",,,123,  910 ,"  13,776 ","  1,107 ",  615 ,"  16,408 ","  1,641 ",  600 ,"  18,640 "
124,  910 ,"  13,888 ","  1,116 ",  620 ,"  16,534 ","  1,653 ",  610 ,"  18,790 ",,,124,  910 ,"  13,888 ","  1,116 ",  620 ,"  16,534 ","  1,653 ",  610 ,"  18,790 "
125,  910 ,"  14,000 ","  1,125 ",  625 ,"  16,660 ","  1,666 ",  610 ,"  18,930 ",,,125,  910 ,"  14,000 ","  1,125 ",  625 ,"  16,660 ","  1,666 ",  610 ,"  18,930 "
